Year,Natural Gas Total Consumption  ,Natural Gas Deliveries to Electric Power Consumers  
2017,27090166,9250066
2016,27485517,9983526
2015,27243858,9613370
2014,26593375,8145982
2013,26155071,8190756
2012,25538487,9110793
2011,24477425,7573863
2010,24086797,7387184
2009,22910078,6872533
2008,23277008,6668379
2007,23103793,6841408
2006,21699071,6222100
2005,22014434,5869145
2004,22402546,5463763
2003,22276502,5135215
2002,23027021,5671897
2001,22238624,5342301
2000,23333121,5206324
1999,22405151,4819531
1998,22245956,4588284
1997,22737342,4064803
