Year,us_perc_from_ng,world_perc_from_ng,total_us_cons ,total_world_cons,total_world_energy_cons,total_us_energy_cons
1990,11.91668074,14.73098697,542.9,1957.9,8141.8,1965.8
1991,12.35771409,14.62494556,553.9,2009.9,8202.9,1963.2
1992,13.05290747,14.60672362,572.8,2019.5,8262.9,1994.7
1993,13.0030193,14.71044512,588.7,2040.8,8311.4,2036.7
1994,14.25609025,14.9170871,601.7,2054.4,8421.7,2074.4
1995,14.86195661,15.17714297,628.8,2127,8590.5,2119.0
1996,13.11238033,15.19198357,640.2,2230,8841.7,2189.5
1997,13.76951817,15.99021742,643.8,2228.3,8936.9,2206.7
1998,14.67862828,16.5423382,629.9,2264.1,9002.2,2220.6
1999,15.02290612,17.44789049,634.4,2323.6,9164.4,2257.8
2000,15.75529356,17.74630875,660.7,2417.8,9390.5,2309.9
2001,17.19049367,18.58957095,629.7,2457.1,9503.6,2256.4
2002,17.69402387,19.13288676,652.1,2527.3,9716.6,2290.9
2003,16.52897698,19.41469928,630.8,2596.2,10077.3,2299.0
2004,17.6359183,19.94309044,634.4,2690.4,10566.6,2345.8
2005,18.33801176,20.17072655,623.4,2768.4,10939,2348.7
2006,19.71396097,20.50155311,614.4,2850.6,11266.7,2331.6
2007,21.16591099,21.20121567,654.2,2967.3,11626.6,2370.2
2008,20.95740713,21.59814943,659.1,3044.9,11783.8,2318.8
2009,22.80158304,21.92332517,648.7,2965.9,11601.5,2205.1
2010,23.37584166,22.39714671,682.1,3187.6,12170,2284.1
2011,24.15858976,21.97194578,693.1,3245.9,12455.3,2264.5
2012,29.60867118,22.3969371,723.2,3337.7,12633.8,2209.3
2013,27.02176802,21.52657668,740.6,3383.8,12866,2270.6
2014,26.88796144,21.5848632,753,3400.8,12988.8,2296.5
2015,32.002,21.6,773.2,3480.1,13105,2275.9
2016,,,778.6,3542.9,13276.3,2272.7
