Year,marketed_production,total_consumption
2017,28814028,27090166
2016,28479288,27485517
2015,28772044,27243858
2014,27497754,26593375
2013,25562232,26155071
2012,25283278,25538487
2011,24036352,24477425
2010,22381873,24086797
2009,21647936,22910078
2008,21112053,23277008
2007,20196346,23103793
2006,19409674,21699071
2005,18927095,22014434
2004,19517491,22402546
2003,19974360,22276502
2002,19884780,23027021
2001,20570295,22238624
2000,20197511,23333121
1999,19804848,22405151
1998,19961348,22245956
1997,19866093,22737342
1996,19812241,22609080
1995,19506474,22206889
1994,19709525,21247098
1993,18981915,20789842
1992,18711808,20228228
1991,18532439,19562067
1990,18593792,19173556
